condition,condition_key,trial,file,window_index,start_seconds,midpoint_seconds,video_repeat,eeg_exponent,eeg_r2,eeg_flag,model_flag,accepted_without_eog_screen,duration_seconds,blink_candidates,blink_rate_per_min,horizontal_saccades,horizontal_saccades_per_min,vertical_saccades,vertical_saccades_per_min,horizontal_direction_balance,vertical_direction_balance,horizontal_rms_uv,vertical_rms_uv,horizontal_drift_rms_uv,vertical_drift_rms_uv,horizontal_total_variation_uv_per_min,vertical_total_variation_uv_per_min
Nature,nature,3,OpenBCI-RAW-2026-06-05_16-11-15.txt,0,2.0,12.0,,1.2508617436121896,0.8363760980630373,False,False,True,20.0,9,27.0,15,45.0,12,36.0,0.3333333333333333,-0.16666666666666669,3912.384580085906,883.6667802874241,3932.6040599686125,872.9942157886218,139809.7088908097,64469.733495051914
Nature,nature,3,OpenBCI-RAW-2026-06-05_16-11-15.txt,4,22.0,32.0,,1.3855784701139924,0.8812901614995801,False,False,True,20.0,16,48.0,4,12.0,3,9.0,-0.5,-0.3333333333333333,213.50138696732412,172.74152287394494,148.60958946520364,81.3511693535697,29230.03380591516,61762.11003994483
Nature,nature,3,OpenBCI-RAW-2026-06-05_16-11-15.txt,8,42.0,52.0,,1.389001284611724,0.9047636002250792,False,False,True,20.0,9,27.0,6,18.0,3,9.0,0.3333333333333333,-0.3333333333333333,195.4440085721382,110.98100243856382,131.75677782844045,44.97058756868146,26084.594573167687,39866.3109244691
Still image,still_image,1,OpenBCI-RAW-2026-06-05_16-25-53.txt,0,2.0,12.0,,0.7315841580839563,0.7872043576508811,False,True,False,20.0,11,33.0,10,30.0,4,12.0,0.39999999999999997,-0.5,3951.510034631285,1141.6469690998574,3974.1676353023636,1146.7089740364047,129126.16745727994,55669.10535260235
Still image,still_image,1,OpenBCI-RAW-2026-06-05_16-25-53.txt,4,22.0,32.0,,0.9724287435947228,0.6938309175109973,False,True,False,20.0,12,36.0,2,6.0,0,0.0,0.0,,93.09734533538746,98.152414182132,74.4489050930817,41.17807206125315,12851.79367895322,34146.71980714746
Still image,still_image,1,OpenBCI-RAW-2026-06-05_16-25-53.txt,8,42.0,52.0,,0.9206359384804572,0.6486613225237116,False,True,False,20.0,12,36.0,0,0.0,0,0.0,,,26.276120910308634,95.74601045376195,21.017756760542362,24.4401936504298,9017.352015394881,34834.367336823714
Still image,still_image,1,OpenBCI-RAW-2026-06-05_16-25-53.txt,12,62.0,72.0,,0.7242424052898041,0.7732178049758441,False,True,False,20.0,15,45.0,9,27.0,2,6.0,0.11111111111111116,0.0,57.02531204845758,114.97720372622888,40.06832247028713,33.552405560641084,14153.91290345868,46388.80268460837
Still image,still_image,2,OpenBCI-RAW-2026-06-05_16-28-12.txt,0,2.0,12.0,,0.7053554639417079,0.7563989236465681,False,True,False,20.0,9,27.0,8,24.0,6,18.0,-0.5,0.3333333333333333,3913.880729732565,1192.7795773568075,3934.729862425138,1194.7829309653796,129857.15140042038,57172.78528776804
Still image,still_image,2,OpenBCI-RAW-2026-06-05_16-28-12.txt,4,22.0,32.0,,1.0158428351862911,0.7695161232001357,False,True,False,20.0,10,30.0,0,0.0,0,0.0,,,49.23296586940265,70.91919987015449,46.891654583221765,23.60484681885012,8915.580386208858,28330.992416641046
Still image,still_image,2,OpenBCI-RAW-2026-06-05_16-28-12.txt,8,42.0,52.0,,0.8640362397453643,0.7955817030146355,False,True,False,20.0,12,36.0,5,15.0,1,3.0,-0.19999999999999996,-1.0,44.16150785182241,107.9016145998306,36.88817499123088,41.141921469176836,12142.113902191973,38618.2387328481
Still image,still_image,3,OpenBCI-RAW-2026-06-05_16-29-59.txt,0,2.0,12.0,,0.8069506144505019,0.5575979337305025,False,True,False,20.0,15,45.0,3,9.0,3,9.0,0.3333333333333333,0.3333333333333333,3824.9336597545457,1193.3310136504842,3852.9909404853706,1199.927733958934,127932.93975460292,77235.37340817544
Still image,still_image,3,OpenBCI-RAW-2026-06-05_16-29-59.txt,4,22.0,32.0,,0.8191044931082292,0.5219144102931386,False,True,False,20.0,15,45.0,1,3.0,0,0.0,-1.0,,61.94478579357228,145.18913576754048,56.30283549406864,42.74088168775376,12295.991061754874,56241.28992534957
Still image,still_image,3,OpenBCI-RAW-2026-06-05_16-29-59.txt,8,42.0,52.0,,0.5110676868620143,0.6303990946638129,False,True,False,20.0,16,48.0,6,18.0,3,9.0,0.0,-0.3333333333333333,106.28980249862842,138.22415799893182,69.65150488075358,57.36051359610415,22539.10127546227,58418.54352201498
Sturm Hall,sturm_hall,1,OpenBCI-RAW-2026-06-05_16-14-56.txt,0,2.0,12.0,,0.6557129034120591,0.6180028880198515,False,True,False,20.0,16,48.0,5,15.0,0,0.0,-0.6000000000000001,,4136.9937956047215,984.2251045359064,4145.082084945001,979.0212867618601,151147.2397486351,79192.32065307032
Sturm Hall,sturm_hall,1,OpenBCI-RAW-2026-06-05_16-14-56.txt,4,22.0,32.0,,0.6558574200274971,0.552706653951923,False,True,False,20.0,7,21.0,8,24.0,5,15.0,0.25,-0.6000000000000001,203.24094855250266,108.49679376711111,186.97158599247746,61.63955443966541,25404.50889984571,39936.24318606344
Sturm Hall,sturm_hall,1,OpenBCI-RAW-2026-06-05_16-14-56.txt,8,42.0,52.0,,1.1520524906141434,0.6969500284305477,False,True,False,20.0,17,51.0,12,36.0,0,0.0,0.0,,314.19134422199966,273.3041198099007,263.30120808196637,178.4216135976559,49403.15916151944,74456.71368864857
Sturm Hall,sturm_hall,2,OpenBCI-RAW-2026-06-05_16-16-52.txt,0,2.0,12.0,,0.2102784555334455,0.6126278917650988,False,True,False,20.0,14,42.0,6,18.0,2,6.0,0.6666666666666667,0.0,4008.978467617051,943.1841862019219,4034.124814067953,942.2148268811769,136082.1111205847,73283.52298919357
Sturm Hall,sturm_hall,2,OpenBCI-RAW-2026-06-05_16-16-52.txt,4,22.0,32.0,,0.246418910359415,0.5311854869135646,False,True,False,20.0,11,33.0,8,24.0,2,6.0,0.0,-1.0,144.08296836747905,101.84469623189642,104.74386027010354,47.189251943175854,21211.0722447348,43705.92488918026
Sturm Hall,sturm_hall,2,OpenBCI-RAW-2026-06-05_16-16-52.txt,8,42.0,52.0,,1.1744867182355496,0.6967249375793282,False,True,False,20.0,16,48.0,7,21.0,4,12.0,0.14285714285714285,-1.0,234.94481325388352,153.17658465280422,177.28323109569547,60.67675693070983,33217.04656685454,68907.77061343504
Sturm Hall,sturm_hall,2,OpenBCI-RAW-2026-06-05_16-16-52.txt,12,62.0,72.0,,1.0904424769813392,0.6777065781835483,False,True,False,20.0,22,66.0,9,27.0,3,9.0,0.3333333333333333,-0.3333333333333333,276.86774456229176,175.96974402146188,242.65289866199083,74.57104219097768,35466.61689901504,79908.76419582489
Sturm Hall,sturm_hall,3,OpenBCI-RAW-2026-06-05_16-19-10.txt,0,2.0,12.0,,0.6827546156055065,0.5501164512605524,False,True,False,20.0,10,30.0,8,24.0,0,0.0,0.0,,3983.688743611195,984.2050234063751,4000.859121813936,986.6412658372222,134458.06531894987,54223.70440667571
Sturm Hall,sturm_hall,3,OpenBCI-RAW-2026-06-05_16-19-10.txt,4,22.0,32.0,,0.6500935202202335,0.443147368643298,False,True,False,20.0,11,33.0,9,27.0,2,6.0,0.3333333333333333,-1.0,101.1108631685659,102.20629849921974,84.59446531398706,58.51720143225816,19146.746102633322,39527.8283112012
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,0,2.0,12.0,1.0,0.7339255453909603,0.7717211264161203,False,True,False,20.0,12,36.0,1,3.0,2,6.0,-1.0,0.0,88.32606027906408,252.16658670174795,56.14762841685428,130.1629186139992,21553.775654593413,65746.95548225682
