condition,windows,recordings,blink_rate_per_min_median,horizontal_saccades_per_min_median,vertical_saccades_per_min_median,horizontal_rms_uv_median,vertical_rms_uv_median,horizontal_drift_rms_uv_median,vertical_drift_rms_uv_median,eog_horizontal_exponent,eog_vertical_exponent,eeg_exponent_condition_fit,eeg_condition_r2,strict_eeg_accepted_windows
Eyes open,5,1,6.0,0.0,3.0,6.890079052577371,31.711493258313173,5.869591600333867,18.00199869131863,1.1536875583268764,1.5875061124336545,0.9745848915906308,0.9097205723696712,2
Eyes closed,6,1,16.5,25.5,6.0,45.4801628432017,54.27358746496357,38.226500284016716,32.359616641505404,2.2364626040581874,3.0192130869421057,1.0959662275982611,0.968294964304877,3
Video,94,1,33.0,36.0,15.0,184.07429950513966,138.02012043387134,116.27212347388235,66.29718093499434,2.91595526952724,2.6698571454947686,1.6122636083391837,0.8892820804650743,28
Still image,10,3,36.0,12.0,4.5,77.52106556447987,126.60068086258035,62.977170187411105,41.95947687450345,2.36184131356688,2.802760233486247,0.965351841364193,0.8341217899355595,0
Nature,10,3,25.5,36.0,24.0,207.7042119348664,150.31047263276633,164.90428121646016,79.8650398591673,2.721792887610495,2.5760747175366507,1.3838551935208872,0.9750846362380512,2
Sturm Hall,9,3,42.0,24.0,6.0,276.86774456229176,175.96974402146188,242.65289866199083,74.57104219097768,2.7581227087440547,2.8636525192912887,0.7634044064458305,0.7230365341906708,0
